ram_gb,ssd,hdd,display_size,price,Marca,Marca del Procesador,Modelo del Procesador,Sistema Operativo
4,512,0,16.0,90990.0,hp,amd,ryzen 7,windows
4,512,0,16.0,78990.0,lenovo,amd,ryzen 7,windows
4,512,0,16.0,111990.0,asus,amd,ryzen 7,windows
4,512,0,16.0,109000.0,hp,amd,ryzen 7,windows
4,512,0,16.0,89990.0,dell,amd,ryzen 7,windows
4,512,0,16.0,78988.0,lenovo,amd,ryzen 7,windows
4,512,0,16.0,73138.0,lenovo,amd,ryzen 7,windows
4,512,0,16.0,106990.0,lenovo,amd,ryzen 7,windows
4,512,0,16.0,89570.0,dell,amd,ryzen 7,windows
16,512,0,14.0,73400.0,lenovo,amd,ryzen 7,windows
16,512,0,14.0,79990.0,hp,amd,ryzen 7,windows
16,512,0,15.6,84990.0,hp,amd,ryzen 7,windows
16,1024,0,15.6,99990.0,msi,amd,ryzen 7,windows
8,1024,0,14.0,72990.0,asus,amd,ryzen 7,windows
16,1024,0,13.3,92990.0,hp,amd,ryzen 7,windows
16,1024,0,13.3,84190.0,hp,amd,ryzen 7,windows
16,1024,0,14.0,112990.0,asus,amd,ryzen 7,windows
4,1024,0,16.0,114990.0,asus,amd,ryzen 7,windows
4,1024,0,16.0,99990.0,acer,amd,ryzen 7,windows
4,1024,0,16.0,130990.0,lenovo,amd,ryzen 7,windows
4,1024,0,16.0,99990.0,asus,amd,ryzen 7,windows
4,1024,0,16.0,112990.0,asus,amd,ryzen 7,windows
4,1024,0,16.0,77988.0,lenovo,amd,ryzen 7,windows
16,1024,0,13.3,84970.0,asus,amd,ryzen 7,windows
16,256,1024,15.6,75990.0,hp,amd,ryzen 7,windows
16,256,1024,15.6,89990.0,acer,amd,ryzen 7,windows
16,256,1024,15.6,81990.0,acer,amd,ryzen 7,windows
4,512,1024,16.0,80490.0,lenovo,amd,ryzen 7,windows
16,1024,0,15.6,135990.0,asus,amd,ryzen 9,windows
16,1024,0,15.6,114990.0,asus,amd,ryzen 9,windows
16,1024,0,15.6,129990.0,asus,amd,ryzen 9,windows
16,1024,0,13.4,114990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,146990.0,msi,amd,ryzen 9,windows
4,1024,0,16.0,104990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,114990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,124990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,134990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,141990.0,hp,amd,ryzen 9,windows
4,1024,0,16.0,129990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,121990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,141990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,130500.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,138990.0,asus,amd,ryzen 9,windows
4,1024,0,16.0,135990.0,asus,amd,ryzen 9,windows
